date,prizeId,qty
2025-12-13,LICUADORA,0
2025-12-13,SANDUCHERA,0
2025-12-13,OLLAARROCERA,0
2025-12-13,CAFETERA,0
2025-12-13,BATIDORAMANO,0
2025-12-13,PARRILLASANDUCHERA,0
2025-12-13,SPLIT,0
2025-12-13,TV65,0
2025-12-13,TV55,0
2025-12-13,PARLANTERECARGABLE,1
2025-12-13,CELULARREDNI,0
2025-12-13,REFRIGERADORA,0
2025-12-13,MIMOSAFRUTOSROJOS,0
2025-12-13,GRANDDUVALBLANCO375CC,10
2025-12-13,GRANDDUVAL750CC,0
2025-12-13,MONTSANT,10
2025-12-13,SIDRAL,8
2025-12-13,SUERTEPROXIMA,500
2025-12-14,TAZAS,45
2025-12-14,BOMBILLOS,80
2025-12-14,SUPEREXITO-20,10
2025-12-14,SUPEREXITO-25,0
2025-12-14,DMUJERES-20,0
2025-12-14,POLIPAPEL-10,2
2025-12-14,KRISPYKREME,20
2025-12-14,TRIODONAS,10
2025-12-14,ENTRADASCINE,30
2025-12-14,PARRILLAASADORA,
2025-12-14,AIRFRYER,1
2025-12-14,LICUADORA,0
2025-12-14,SANDUCHERA,0
2025-12-14,OLLAARROCERA,0
2025-12-14,CAFETERA,0
2025-12-14,BATIDORAMANO,0
2025-12-14,PARRILLASANDUCHERA,0
2025-12-14,SPLIT,0
2025-12-14,TV65,0
2025-12-14,TV55,1
2025-12-14,PARLANTERECARGABLE,1
2025-12-14,CELULARREDNI,0
2025-12-14,REFRIGERADORA,0
2025-12-14,MIMOSAFRUTOSROJOS,0
2025-12-14,GRANDDUVALBLANCO375CC,10
2025-12-14,GRANDDUVAL750CC,0
2025-12-14,MONTSANT,10
2025-12-14,SIDRAL,8
2025-12-14,SUERTEPROXIMA,500
2025-12-18,TAZAS,40
2025-12-18,BOMBILLOS,80
2025-12-18,SUPEREXITO-20,5
2025-12-18,SUPEREXITO-25,0
2025-12-18,DMUJERES-20,0
2025-12-18,POLIPAPEL-10,2
2025-12-18,KRISPYKREME,20
2025-12-18,TRIODONAS,10
2025-12-18,ENTRADASCINE,25
2025-12-18,PARRILLAASADORA,
2025-12-18,AIRFRYER,0
2025-12-18,LICUADORA,1
2025-12-18,SANDUCHERA,0
2025-12-18,OLLAARROCERA,0
2025-12-18,CAFETERA,0
2025-12-18,BATIDORAMANO,0
2025-12-18,PARRILLASANDUCHERA,0
2025-12-18,SPLIT,0
2025-12-18,TV65,0
2025-12-18,TV55,0
2025-12-18,PARLANTERECARGABLE,1
2025-12-18,CELULARREDNI,0
2025-12-18,REFRIGERADORA,0
2025-12-18,MIMOSAFRUTOSROJOS,0
2025-12-18,GRANDDUVALBLANCO375CC,5
2025-12-18,GRANDDUVAL750CC,0
2025-12-18,MONTSANT,10
2025-12-18,SIDRAL,8
2025-12-18,SUERTEPROXIMA,500
2025-12-19,TAZAS,45
2025-12-19,BOMBILLOS,80
2025-12-19,SUPEREXITO-20,5
2025-12-19,SUPEREXITO-25,0
2025-12-19,DMUJERES-20,0
2025-12-19,POLIPAPEL-10,2
2025-12-19,KRISPYKREME,20
2025-12-19,TRIODONAS,10
2025-12-19,ENTRADASCINE,25
2025-12-19,PARRILLAASADORA,
2025-12-19,AIRFRYER,0
2025-12-19,LICUADORA,1
2025-12-19,SANDUCHERA,0
2025-12-19,OLLAARROCERA,0
2025-12-19,CAFETERA,0
2025-12-19,BATIDORAMANO,0
2025-12-19,PARRILLASANDUCHERA,0
2025-12-19,SPLIT,0
2025-12-19,TV65,0
2025-12-19,TV55,0
2025-12-19,PARLANTERECARGABLE,1
2025-12-19,CELULARREDNI,0
2025-12-19,REFRIGERADORA,0
2025-12-19,MIMOSAFRUTOSROJOS,0
2025-12-19,GRANDDUVALBLANCO375CC,5
2025-12-19,GRANDDUVAL750CC,0
2025-12-19,MONTSANT,10
2025-12-19,SIDRAL,8
2025-12-19,SUERTEPROXIMA,500
2025-12-20,TAZAS,45
2025-12-20,BOMBILLOS,80
2025-12-20,SUPEREXITO-20,10
2025-12-20,SUPEREXITO-25,0
2025-12-20,DMUJERES-20,0
2025-12-20,POLIPAPEL-10,2
2025-12-20,KRISPYKREME,20
2025-12-20,TRIODONAS,10
2025-12-20,ENTRADASCINE,25
2025-12-20,PARRILLAASADORA,
2025-12-20,AIRFRYER,0
2025-12-20,LICUADORA,1
2025-12-20,SANDUCHERA,0
2025-12-20,OLLAARROCERA,0
2025-12-20,CAFETERA,0
2025-12-20,BATIDORAMANO,0
2025-12-20,PARRILLASANDUCHERA,0
2025-12-20,SPLIT,0
2025-12-20,TV65,1
2025-12-20,TV55,0
2025-12-20,PARLANTERECARGABLE,0
2025-12-20,CELULARREDNI,0
2025-12-20,REFRIGERADORA,0
2025-12-20,MIMOSAFRUTOSROJOS,0
2025-12-20,GRANDDUVALBLANCO375CC,10
2025-12-20,GRANDDUVAL750CC,0
2025-12-20,MONTSANT,10
2025-12-20,SIDRAL,8
2025-12-20,SUERTEPROXIMA,500
2025-12-21,TAZAS,40
2025-12-21,BOMBILLOS,80
2025-12-21,SUPEREXITO-20,10
2025-12-21,SUPEREXITO-25,0
2025-12-21,DMUJERES-20,0
2025-12-21,POLIPAPEL-10,2
2025-12-21,KRISPYKREME,20
2025-12-21,TRIODONAS,10
2025-12-21,ENTRADASCINE,25
2025-12-21,PARRILLAASADORA,
2025-12-21,AIRFRYER,0
2025-12-21,LICUADORA,1
2025-12-21,SANDUCHERA,0
2025-12-21,OLLAARROCERA,0
2025-12-21,CAFETERA,0
2025-12-21,BATIDORAMANO,0
2025-12-21,PARRILLASANDUCHERA,0
2025-12-21,SPLIT,1
2025-12-21,TV65,0
2025-12-21,TV55,0
2025-12-21,PARLANTERECARGABLE,0
2025-12-21,CELULARREDNI,0
2025-12-21,REFRIGERADORA,0
2025-12-21,MIMOSAFRUTOSROJOS,0
2025-12-21,GRANDDUVALBLANCO375CC,10
2025-12-21,GRANDDUVAL750CC,0
2025-12-21,MONTSANT,10
2025-12-21,SIDRAL,8
2025-12-21,SUERTEPROXIMA,500
2025-12-25,TAZAS,40
2025-12-25,BOMBILLOS,80
2025-12-25,SUPEREXITO-20,5
2025-12-25,SUPEREXITO-25,0
2025-12-25,DMUJERES-20,0
2025-12-25,POLIPAPEL-10,4
2025-12-25,KRISPYKREME,35
2025-12-25,TRIODONAS,10
2025-12-25,ENTRADASCINE,25
2025-12-25,PARRILLAASADORA,
2025-12-25,AIRFRYER,0
2025-12-25,LICUADORA,1
2025-12-25,SANDUCHERA,0
2025-12-25,OLLAARROCERA,0
2025-12-25,CAFETERA,0
2025-12-25,BATIDORAMANO,0
2025-12-25,PARRILLASANDUCHERA,0
2025-12-25,SPLIT,0
2025-12-25,TV65,0
2025-12-25,TV55,0
2025-12-25,PARLANTERECARGABLE,0
2025-12-25,CELULARREDNI,1
2025-12-25,REFRIGERADORA,0
2025-12-25,MIMOSAFRUTOSROJOS,0
2025-12-25,GRANDDUVALBLANCO375CC,0
2025-12-25,GRANDDUVAL750CC,0
2025-12-25,MONTSANT,10
2025-12-25,SIDRAL,8
2025-12-25,SUERTEPROXIMA,500
2025-12-26,TAZAS,40
2025-12-26,BOMBILLOS,80
2025-12-26,SUPEREXITO-20,5
2025-12-26,SUPEREXITO-25,0
2025-12-26,DMUJERES-20,0
2025-12-26,POLIPAPEL-10,4
2025-12-26,KRISPYKREME,35
2025-12-26,TRIODONAS,10
2025-12-26,ENTRADASCINE,25
2025-12-26,PARRILLAASADORA,
2025-12-26,AIRFRYER,0
2025-12-26,LICUADORA,1
2025-12-26,SANDUCHERA,0
2025-12-26,OLLAARROCERA,0
2025-12-26,CAFETERA,0
2025-12-26,BATIDORAMANO,0
2025-12-26,PARRILLASANDUCHERA,0
2025-12-26,SPLIT,0
2025-12-26,TV65,0
2025-12-26,TV55,0
2025-12-26,PARLANTERECARGABLE,0
2025-12-26,CELULARREDNI,0
2025-12-26,REFRIGERADORA,1
2025-12-26,MIMOSAFRUTOSROJOS,0
2025-12-26,GRANDDUVALBLANCO375CC,0
2025-12-26,GRANDDUVAL750CC,0
